,date_sold,price,house_id,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Bedrooms per 100 sqm (Living Area),Bedrooms per 100 sqm (Lot Area),bedrooms_100
10,2014-07-31,3.95,1875500060,17,3,2,1890.0,14040.0,2,0,0,3,7,1890.0,0.0,1994.0,0.0,98019,47.7277,-121.962,1890.0,14018.0,1.7085579446321295,0.009831005291005291,Low (1-2)
11,2014-05-29,4.85,6865200140,18,4,1,1600.0,4300.0,1,0,0,4,7,1600.0,0.0,1916.0,0.0,98103,47.6648,-122.343,1610.0,4300.0,2.690978762795604,0.0058064375,Medium (2-3)
12,2015-04-24,2.3,7983200060,20,3,1,1250.0,9774.0,1,0,0,4,7,1250.0,0.0,1969.0,0.0,98003,47.3343,-122.306,1280.0,8850.0,2.58333961228378,0.00743224,Medium (2-3)
13,2014-05-14,3.85,6300500875,21,4,1,1620.0,4980.0,1,0,0,4,7,860.0,760.0,1947.0,0.0,98133,47.7025,-122.341,1400.0,4980.0,2.65775680276109,0.005734753086419753,Medium (2-3)
14,2014-08-26,20.0,2524049179,22,3,2,3050.0,44867.0,1,0,4,3,9,2330.0,720.0,1968.0,0.0,98040,47.5316,-122.233,4110.0,20336.0,1.058745742739254,0.006092,Low (1-2)
15,2014-07-03,2.85,7137970340,23,5,2,2270.0,6300.0,2,0,0,3,8,2270.0,0.0,1995.0,0.0,98092,47.3266,-122.169,2240.0,7005.0,2.370906398938858,0.008185286343612335,Medium (2-3)
16,2014-11-20,3.29,3814700200,25,3,2,2450.0,6500.0,2,0,0,4,8,2450.0,0.0,1985.0,0.0,98030,47.3739,-122.17298,2200.0,6865.0,1.3180304144305,0.00758391836734694,Low (1-2)
17,2014-11-03,2.33,1202000200,26,3,2,1710.0,4697.0,1,0,0,5,6,1710.0,0.0,1941.0,0.0,98002,47.3048,-122.218,1030.0,4705.0,1.8884061493302486,0.010865847953216375,Low (1-2)
18,2014-12-01,6.67,3303700376,28,3,1,1400.0,1581.0,1,0,0,5,8,1400.0,0.0,1909.0,0.0,98112,47.6221,-122.314,1860.0,3861.0,2.3065532252533747,0.006635928571428572,Medium (2-3)
19,2015-03-02,7.19,1873100390,30,4,2,2570.0,7173.0,2,0,0,3,8,2570.0,0.0,2005.0,0.0,98052,47.7073,-122.11,2630.0,6026.0,1.6753175176937614,0.007229805447470817,Low (1-2)
20,2014-11-10,5.805,8562750320,31,3,2,2320.0,3980.0,2,0,0,3,8,2320.0,0.0,2003.0,0.0,98027,47.5391,-122.07,2580.0,3980.0,1.3918855669632433,0.008008879310344826,Low (1-2)
21,2014-12-01,2.8,2426039314,32,2,1,1190.0,1265.0,3,0,0,3,7,1190.0,0.0,2005.0,0.0,98133,47.7274,-122.357,1390.0,1756.0,1.809061353139902,0.007806974789915966,Low (1-2)
22,2014-06-24,6.875,461000390,33,4,1,2330.0,5000.0,1,0,0,4,7,1510.0,820.0,1929.0,0.0,98117,47.6823,-122.368,1460.0,5000.0,1.8478824122201574,0.00398725321888412,Low (1-2)
23,2014-11-10,5.35,7589200193,34,3,1,1090.0,3000.0,1,0,0,4,8,1090.0,0.0,1929.0,0.0,98117,47.6889,-122.375,1570.0,5080.0,2.9625454269309404,0.008523211009174312,Medium (2-3)
24,2014-12-03,3.225,7955080270,35,4,2,2060.0,6659.0,1,0,0,3,7,1280.0,780.0,1981.0,0.0,98058,47.4276,-122.157,2020.0,8720.0,2.090080592462605,0.009019708737864077,Medium (2-3)
25,2014-06-13,6.96,9547205180,36,3,2,2300.0,3060.0,1,0,0,3,8,1510.0,790.0,1930.0,20020.0,98115,47.6827,-122.31,1590.0,3264.0,1.4039889197194457,0.008078521739130434,Low (1-2)
26,2014-05-28,5.5,9435300030,37,4,1,1660.0,34848.0,1,0,0,1,5,930.0,730.0,1933.0,0.0,98052,47.6621,-122.132,2160.0,11467.0,2.5937144701644375,0.005596566265060242,Medium (2-3)
27,2014-12-30,6.4,2768000400,38,4,2,2360.0,6000.0,2,0,0,4,8,2360.0,0.0,1904.0,0.0,98107,47.6702,-122.362,1730.0,4700.0,1.8243923815563416,0.007873135593220339,Low (1-2)
28,2015-02-13,2.4,7895500070,39,4,1,1220.0,8075.0,1,0,0,2,7,890.0,330.0,1969.0,0.0,98001,47.3341,-122.282,1290.0,7800.0,3.5291524757975132,0.007614999999999999,High (3+)
29,2014-06-20,6.05,2078500320,40,4,2,2620.0,7553.0,2,0,0,3,8,2620.0,0.0,1996.0,0.0,98056,47.5301,-122.18,2620.0,11884.0,1.6433458093408269,0.007091832061068702,Low (1-2)
30,2014-08-11,7.75,7766200013,42,4,2,4220.0,24186.0,1,0,0,3,8,2600.0,1620.0,1984.0,0.0,98166,47.445,-122.347,2410.0,30617.0,1.0202763081689494,0.004402985781990521,Low (1-2)
31,2014-10-28,6.85,9270200160,44,3,1,1570.0,2280.0,2,0,0,3,7,1570.0,0.0,1922.0,0.0,98119,47.6413,-122.364,1580.0,2640.0,2.0567990543660666,0.005917388535031847,Medium (2-3)
32,2014-07-29,3.09,1432701230,45,3,1,1280.0,9656.0,1,0,0,4,6,920.0,360.0,1959.0,0.0,98058,47.4485,-122.175,1340.0,8808.0,2.5227925901208788,0.007258046874999999,Medium (2-3)
33,2015-03-25,2.1049,8945200830,47,3,1,990.0,8528.0,1,0,0,3,6,990.0,0.0,1966.0,0.0,98023,47.3066,-122.371,1228.0,8840.0,3.2617924397522473,0.009384141414141414,High (3+)
34,2014-07-16,7.85,4178300310,48,4,2,2290.0,13416.0,2,0,0,4,9,2290.0,0.0,1981.0,0.0,98007,47.6194,-122.151,2680.0,13685.0,1.8801598342676709,0.008113799126637554,Low (1-2)
35,2015-04-28,4.5,9215400105,49,3,1,1250.0,5963.0,1,0,0,4,7,1250.0,0.0,1953.0,0.0,98115,47.6796,-122.301,970.0,5100.0,2.58333961228378,0.00743224,Medium (2-3)
36,2015-03-11,13.5,822039084,50,3,2,2753.0,65005.0,1,1,2,5,9,2165.0,588.0,1953.0,0.0,98070,47.4041,-122.451,2680.0,72513.0,1.1729656793878405,0.00674921903378133,Low (1-2)
37,2014-09-16,2.28,5245600105,51,3,1,1190.0,9199.0,1,0,0,3,7,1190.0,0.0,1955.0,0.0,98148,47.4258,-122.322,1190.0,9364.0,2.7135920297098526,0.007806974789915966,Medium (2-3)
38,2015-02-17,3.45,7231300125,52,5,2,3150.0,9134.0,1,0,0,4,8,1640.0,1510.0,1966.0,0.0,98056,47.4934,-122.189,1990.0,9133.0,1.7085579446321295,0.0058986031746031745,Low (1-2)
39,2015-02-05,5.85,3626039271,54,2,1,1980.0,8550.0,1,0,0,3,7,990.0,990.0,1981.0,0.0,98117,47.6989,-122.369,1480.0,6738.0,1.0872641465840824,0.004692070707070707,Low (1-2)
40,2015-03-03,9.2,4217401195,55,5,2,2730.0,6000.0,1,0,0,3,8,2130.0,600.0,1927.0,0.0,98105,47.6571,-122.281,2730.0,6000.0,1.9714130130370724,0.006806080586080586,Low (1-2)
41,2015-04-07,3.01,2799800710,58,3,2,2420.0,4750.0,2,0,0,3,8,2420.0,0.0,2003.0,0.0,98042,47.3663,-122.122,2690.0,4750.0,1.3343696344441012,0.007677933884297521,Low (1-2)
42,2015-02-23,4.3,8079040320,60,4,3,1850.0,9976.0,2,0,0,3,8,1850.0,0.0,1991.0,0.0,98059,47.5059,-122.149,2270.0,8542.0,2.327332984039441,0.01506535135135135,Medium (2-3)
43,2014-08-28,2.89,9558200045,62,3,1,1260.0,8400.0,1,0,0,3,7,1260.0,0.0,1954.0,0.0,98148,47.4366,-122.335,1290.0,8750.0,2.5628369169481946,0.007373253968253968,Medium (2-3)
44,2014-12-07,5.49,9528102996,64,3,1,1540.0,1044.0,3,0,0,3,8,1540.0,0.0,2014.0,0.0,98115,47.6765,-122.32,1580.0,3090.0,2.096866568412159,0.006032662337662338,Medium (2-3)
45,2014-06-03,4.25,1189001180,65,3,2,1660.0,6000.0,1,0,0,3,7,1110.0,550.0,1979.0,0.0,98122,47.6113,-122.297,1440.0,4080.0,1.9452858526233283,0.011193132530120484,Low (1-2)
46,2014-11-20,3.17625,3253500160,66,3,2,2770.0,3809.0,1,0,0,5,7,1770.0,1000.0,1925.0,0.0,98144,47.5747,-122.304,1440.0,4000.0,1.165766973052247,0.006707797833935017,Low (1-2)
47,2014-10-09,2.87,3717000160,68,4,2,2240.0,4648.0,2,0,0,3,7,2240.0,0.0,2005.0,0.0,98001,47.3378,-122.257,2221.0,4557.0,1.9221276877111455,0.008294910714285713,Low (1-2)
48,2014-06-12,13.3,1802000060,70,5,2,3200.0,20158.0,1,0,0,3,8,1600.0,1600.0,1965.0,0.0,98004,47.6303,-122.215,3390.0,20158.0,1.6818617267472524,0.0058064375,Low (1-2)
49,2014-09-12,10.4,1525059190,71,5,3,4770.0,50094.0,1,0,0,4,11,3070.0,1700.0,1973.0,0.0,98005,47.6525,-122.16,3530.0,38917.0,1.1282929823042365,0.005842955974842767,Low (1-2)
50,2015-01-05,3.25,1049000060,72,3,2,1260.0,5612.0,1,0,0,4,7,1260.0,0.0,1972.0,0.0,98034,47.7362,-122.179,1640.0,4745.0,2.5628369169481946,0.014746507936507936,Medium (2-3)
51,2014-06-10,5.71,8820901275,73,4,2,2750.0,7807.0,1,0,0,5,7,2250.0,500.0,1916.0,0.0,98125,47.7168,-122.287,1510.0,7807.0,1.5656603710810786,0.006756581818181818,Low (1-2)
52,2015-03-16,3.49,3444100400,75,3,1,1790.0,50529.0,1,0,0,5,7,1090.0,700.0,1965.0,0.0,98042,47.3511,-122.073,1940.0,50529.0,1.8040081091367177,0.005190111731843575,Low (1-2)
53,2014-11-05,8.325,3276920270,76,4,4,3430.0,35102.0,2,0,0,4,10,2390.0,1040.0,1986.0,0.0,98075,47.5822,-121.987,3240.0,35020.0,1.255267061362381,0.010834169096209913,Low (1-2)
54,2014-06-09,4.1,6300000287,79,3,1,1410.0,5060.0,1,0,0,4,7,910.0,500.0,1956.0,0.0,98133,47.7073,-122.34,1130.0,5693.0,2.2901946917409393,0.006588865248226951,Medium (2-3)
55,2014-12-02,3.9,5104520400,81,3,2,2350.0,5100.0,2,0,0,3,8,2350.0,0.0,2003.0,0.0,98038,47.3512,-122.008,2350.0,5363.0,1.3741168150445637,0.00790663829787234,Low (1-2)
56,2014-12-22,3.6,7437100340,82,4,2,1900.0,5889.0,2,0,0,3,7,1900.0,0.0,1992.0,0.0,98038,47.349,-122.031,1870.0,6405.0,2.266087379196298,0.009779263157894735,Medium (2-3)
57,2014-10-28,3.55,9418400240,83,2,1,2020.0,6720.0,1,0,0,3,7,1010.0,1010.0,1948.0,0.0,98118,47.5474,-122.291,1720.0,6720.0,1.0657341634834074,0.004599158415841584,Low (1-2)
58,2015-01-28,3.56,1523059105,84,3,1,1680.0,8712.0,1,0,0,3,8,1680.0,0.0,1964.0,0.0,98059,47.4811,-122.149,1850.0,8797.0,1.9221276877111455,0.0055299404761904765,Low (1-2)
59,2014-06-02,3.15,1133000671,85,3,1,960.0,6634.0,1,0,0,3,6,960.0,0.0,1952.0,0.0,98125,47.7264,-122.31,1570.0,7203.0,3.363723453494505,0.009677395833333333,High (3+)
60,2014-11-14,9.4,4232902595,86,3,1,2140.0,3600.0,2,0,0,3,9,1900.0,240.0,1925.0,0.0,98119,47.6337,-122.365,2020.0,4800.0,1.508960053904077,0.004341261682242991,Low (1-2)
61,2014-11-03,3.05,2599001200,87,5,2,2660.0,8400.0,1,0,0,5,7,2660.0,0.0,1961.0,0.0,98092,47.2909,-122.189,1590.0,8165.0,2.0232923028538377,0.006985187969924812,Medium (2-3)
62,2014-05-22,2.435,2791500270,91,4,2,1980.0,7403.0,2,0,0,3,7,1980.0,0.0,1988.0,0.0,98023,47.2897,-122.372,1980.0,7510.0,2.174528293168165,0.009384141414141414,Medium (2-3)
63,2015-03-11,11.0,5036300431,92,5,2,3520.0,6353.0,2,0,0,4,10,3520.0,0.0,2001.0,0.0,98199,47.6506,-122.391,2520.0,6250.0,1.528965206133866,0.005278579545454545,Low (1-2)
64,2015-02-26,1.53,4168000060,93,3,1,1200.0,10500.0,1,0,0,3,7,1200.0,0.0,1962.0,0.0,98023,47.322,-122.351,1350.0,10500.0,2.6909787627956043,0.007741916666666667,Medium (2-3)
65,2014-07-25,4.3,6021501535,94,3,1,1580.0,5000.0,1,0,0,3,8,1290.0,290.0,1939.0,0.0,98117,47.687,-122.386,1570.0,4500.0,2.043781338832104,0.00587993670886076,Medium (2-3)
66,2014-12-23,7.0,6021501535,95,3,1,1580.0,5000.0,1,0,0,3,8,1290.0,290.0,1939.0,0.0,98117,47.687,-122.386,1570.0,4500.0,2.043781338832104,0.00587993670886076,Medium (2-3)
67,2014-09-08,9.05,1483300570,96,4,2,3300.0,10250.0,1,0,0,3,7,2390.0,910.0,1946.0,19910.0,98040,47.5873,-122.249,1950.0,6045.0,1.3047169759008987,0.005630484848484848,Low (1-2)
68,2015-03-30,2.475,3422049190,97,3,1,1960.0,15681.0,1,0,0,3,7,1960.0,0.0,1967.0,0.0,98032,47.3576,-122.277,1750.0,15616.0,1.647538018038125,0.004739948979591837,Low (1-2)
69,2014-09-12,1.99,1099611230,98,4,1,1160.0,6400.0,1,0,0,4,7,1160.0,0.0,1975.0,0.0,98023,47.3036,-122.378,1160.0,6400.0,3.711694845235316,0.008008879310344826,High (3+)
70,2014-07-11,3.14,722079104,99,3,1,1810.0,41800.0,1,0,0,5,7,1210.0,600.0,1980.0,0.0,98038,47.4109,-121.958,1650.0,135036.0,1.7840743178755387,0.005132762430939227,Low (1-2)
71,2014-05-16,4.375,7338200240,100,3,2,2320.0,36847.0,2,0,2,3,9,2320.0,0.0,1992.0,0.0,98045,47.4838,-121.714,2550.0,35065.0,1.3918855669632433,0.008008879310344826,Low (1-2)
72,2014-06-11,8.5083,1952200240,101,3,2,2070.0,13241.0,1,0,0,5,9,1270.0,800.0,1910.0,0.0,98102,47.6415,-122.315,2200.0,4500.0,1.5599876885771615,0.008976135265700484,Low (1-2)
73,2014-10-27,5.55,5200100125,102,3,2,1980.0,3478.0,1,0,0,4,7,1440.0,540.0,1929.0,0.0,98117,47.6775,-122.372,1610.0,3478.0,1.6308962198761237,0.009384141414141414,Low (1-2)
74,2014-12-12,6.9995,7214720075,103,3,2,2190.0,107593.0,2,0,0,4,8,2190.0,0.0,1983.0,0.0,98077,47.7731,-122.08,2570.0,47777.0,1.474508911120879,0.008484292237442922,Low (1-2)
75,2014-10-07,10.9,2450000295,104,3,2,2920.0,8113.0,2,0,0,3,8,2920.0,0.0,1950.0,20100.0,98004,47.5814,-122.196,2370.0,8113.0,1.105881683340659,0.006363219178082191,Low (1-2)
76,2014-09-24,2.9,6197800045,105,3,1,1210.0,33919.0,1,0,0,3,7,1210.0,0.0,1954.0,0.0,98058,47.4375,-122.184,1640.0,14910.0,2.6687392688882023,0.007677933884297521,Medium (2-3)
77,2014-05-23,4.6,546000875,107,3,1,1670.0,4005.0,1,0,0,4,7,1170.0,500.0,1939.0,0.0,98117,47.6878,-122.38,1240.0,4005.0,1.9336374343441467,0.005563053892215569,Low (1-2)
78,2014-07-23,1.885,3530510041,108,2,1,1240.0,2493.0,1,0,0,4,8,1240.0,0.0,1985.0,0.0,98198,47.3813,-122.322,1270.0,4966.0,1.7361153308358734,0.007492177419354839,Low (1-2)
79,2015-03-05,6.8,1853000400,109,4,2,3140.0,28037.0,2,0,0,4,10,3140.0,0.0,1991.0,0.0,98077,47.7304,-122.082,2990.0,35001.0,1.3711993695773779,0.005917388535031847,Low (1-2)
80,2014-08-27,4.7,3134100116,110,5,1,2030.0,12342.0,2,0,0,4,7,2030.0,0.0,1942.0,0.0,98052,47.6417,-122.109,2500.0,9433.0,2.6512106037395116,0.004576502463054187,Medium (2-3)
81,2015-03-04,5.7,3362400511,112,3,1,1260.0,3328.0,1,0,0,5,6,700.0,560.0,1905.0,0.0,98103,47.6823,-122.349,1380.0,3536.0,2.5628369169481946,0.007373253968253968,Medium (2-3)
82,2014-11-24,3.2995,6126500060,114,3,1,2080.0,5969.0,1,0,2,3,7,1080.0,1000.0,1971.0,0.0,98108,47.5474,-122.295,2090.0,5500.0,1.5524877477666947,0.004466490384615385,Low (1-2)
83,2014-06-26,5.185,3362400431,117,3,3,1590.0,1102.0,3,0,0,3,8,1590.0,0.0,2010.0,0.0,98103,47.6824,-122.347,1620.0,3166.0,2.030927368147626,0.0175288679245283,Medium (2-3)
84,2014-06-23,2.05425,4060000240,118,2,1,880.0,6780.0,1,0,0,4,6,880.0,0.0,1945.0,0.0,98178,47.5009,-122.248,1190.0,6780.0,2.4463443298141856,0.01055715909090909,Medium (2-3)
85,2015-05-11,5.35,1695900060,120,4,1,1610.0,2982.0,1,0,0,4,7,1610.0,0.0,1925.0,0.0,98144,47.587,-122.294,1610.0,4040.0,2.6742646089894206,0.005770372670807453,Medium (2-3)
86,2015-01-02,6.6,7278700070,121,3,2,2400.0,6474.0,1,0,2,3,8,1560.0,840.0,1964.0,0.0,98177,47.7728,-122.386,2340.0,10856.0,1.3454893813978022,0.007741916666666667,Low (1-2)
87,2015-04-06,3.95,3626039187,123,2,1,770.0,6000.0,1,0,0,3,6,770.0,0.0,1953.0,0.0,98117,47.6999,-122.364,1710.0,6000.0,2.795822091216212,0.012065324675324675,Medium (2-3)
88,2014-06-18,7.7,3275860240,125,3,2,2910.0,10204.0,2,0,0,3,9,2910.0,0.0,1990.0,0.0,98052,47.6897,-122.098,2700.0,13992.0,1.1096819640394244,0.006385085910652921,Low (1-2)
89,2015-03-02,14.5,4389200955,126,4,2,2750.0,17789.0,1,0,0,3,8,1980.0,770.0,1914.0,19920.0,98004,47.6141,-122.212,3060.0,11275.0,1.5656603710810786,0.006756581818181818,Low (1-2)
90,2015-01-05,2.12,3668000070,131,3,1,1060.0,7875.0,1,0,0,4,7,1060.0,0.0,1986.0,0.0,98092,47.2761,-122.152,1420.0,7680.0,3.046391052221438,0.00876443396226415,High (3+)
91,2015-04-28,6.605,9545240070,132,4,2,2010.0,9603.0,1,0,0,3,8,1440.0,570.0,1986.0,0.0,98027,47.5343,-122.054,2060.0,9793.0,2.1420726470014757,0.00924407960199005,Medium (2-3)
92,2014-06-12,7.84,1243100136,133,3,3,3950.0,111078.0,1,0,0,3,9,2460.0,1490.0,1989.0,0.0,98052,47.697,-122.072,2480.0,88500.0,0.8175125355328416,0.007055924050632911,Very Low (0-1)
93,2014-05-12,4.53246,8929000270,134,3,2,2010.0,2287.0,2,0,0,3,8,1390.0,620.0,2014.0,0.0,98029,47.5517,-121.998,1690.0,1662.0,1.606554485251107,0.00924407960199005,Low (1-2)
94,2015-01-26,6.75,2767602356,135,4,3,2140.0,2278.0,3,0,0,3,9,2140.0,0.0,2005.0,0.0,98107,47.6734,-122.38,1540.0,2285.0,2.0119467385387693,0.01302378504672897,Medium (2-3)
95,2014-08-05,2.2,3655000070,137,4,1,2020.0,7840.0,1,0,0,3,7,1010.0,1010.0,1968.0,0.0,98003,47.3309,-122.299,1750.0,8140.0,2.131468326966815,0.004599158415841584,Medium (2-3)
96,2014-07-07,3.825,3992700335,139,2,1,1190.0,4440.0,1,0,0,3,6,1190.0,0.0,1981.0,0.0,98125,47.7135,-122.287,1060.0,5715.0,1.809061353139902,0.007806974789915966,Low (1-2)
97,2014-06-27,6.65,4232901525,141,2,1,1110.0,3200.0,1,0,0,3,7,1110.0,0.0,1925.0,0.0,98119,47.6338,-122.358,1170.0,3600.0,1.9394441533662008,0.00836963963963964,Low (1-2)
98,2015-05-08,2.05,1432900240,143,3,1,1610.0,8579.0,1,0,0,4,7,1010.0,600.0,1962.0,0.0,98058,47.4563,-122.171,1610.0,8579.0,2.0056984567420653,0.005770372670807453,Medium (2-3)
99,2015-02-27,5.0,6071600370,145,4,2,2030.0,8517.0,1,0,0,4,8,1380.0,650.0,1961.0,0.0,98006,47.5495,-122.174,2230.0,8824.0,2.1209684829916093,0.009153004926108373,Medium (2-3)
100,2014-12-03,9.215,1526069017,146,4,2,3670.0,315374.0,2,0,0,4,9,3670.0,0.0,1994.0,0.0,98077,47.7421,-122.026,2840.0,87991.0,1.1731787521724706,0.00506283378746594,Low (1-2)
101,2014-06-25,8.9,809001525,147,4,1,2550.0,4000.0,2,0,0,3,8,2370.0,180.0,1905.0,0.0,98109,47.6354,-122.353,2200.0,4000.0,1.688457262930575,0.0036432549019607837,Low (1-2)
102,2014-08-06,4.3,3224079105,148,2,2,2420.0,60984.0,2,0,0,3,7,2420.0,0.0,2007.0,0.0,98027,47.5262,-121.943,1940.0,193842.0,0.8895797562960674,0.007677933884297521,Very Low (0-1)
103,2014-10-30,2.58,8075400570,149,5,2,2260.0,12500.0,1,0,0,4,8,1130.0,1130.0,1960.0,0.0,98032,47.3887,-122.286,1360.0,18000.0,2.3813971352173486,0.008221504424778762,Medium (2-3)
104,2014-11-04,5.11,1994200024,150,3,1,1430.0,3455.0,1,0,0,3,7,980.0,450.0,1947.0,0.0,98103,47.6873,-122.336,1450.0,4599.0,2.2581639967515557,0.006496713286713287,Medium (2-3)
105,2014-08-20,5.3217,3362900810,151,3,2,1360.0,3090.0,2,0,0,3,8,1360.0,0.0,1990.0,0.0,98103,47.6838,-122.353,1500.0,3090.0,2.3743930259961212,0.013662205882352941,Medium (2-3)
106,2015-04-09,5.6,1324300398,152,3,1,1110.0,5000.0,1,0,0,3,7,1110.0,0.0,1947.0,0.0,98107,47.655,-122.359,1420.0,5000.0,2.9091662300493017,0.00836963963963964,Medium (2-3)
107,2015-04-01,22.5,7855801670,154,4,3,5180.0,19850.0,2,0,3,3,12,3540.0,1640.0,2006.0,0.0,98006,47.562,-122.162,3160.0,9750.0,0.8311903514426575,0.0053804826254826256,Very Low (0-1)
108,2014-05-16,3.5,7920100045,155,1,1,700.0,5100.0,1,0,0,3,7,700.0,0.0,1942.0,0.0,98115,47.679,-122.3,1010.0,5100.0,1.5377021501689165,0.013271857142857144,Low (1-2)
109,2014-07-28,2.15,8960000030,156,3,1,1180.0,7669.0,1,0,0,4,7,1180.0,0.0,1967.0,0.0,98058,47.4479,-122.176,1190.0,7669.0,2.7365885723345125,0.007873135593220339,Medium (2-3)
110,2014-11-20,6.5,6388930390,157,5,3,3960.0,25245.0,2,0,0,3,9,2500.0,1460.0,1996.0,0.0,98056,47.525,-122.172,2640.0,13675.0,1.3590801832301032,0.007038106060606061,Low (1-2)
111,2014-08-07,3.2,8731900200,158,4,2,2640.0,7500.0,1,0,0,3,8,1620.0,1020.0,1967.0,0.0,98023,47.3135,-122.369,1980.0,7875.0,1.6308962198761237,0.007038106060606061,Low (1-2)
112,2014-11-13,2.47,8029200135,159,3,2,1270.0,7198.0,1,0,0,3,7,1270.0,0.0,1916.0,20130.0,98022,47.2086,-121.996,1160.0,7198.0,2.542657098704508,0.0146303937007874,Medium (2-3)
113,2014-10-03,3.2,1081200350,160,4,1,1760.0,11180.0,1,0,0,4,8,1760.0,0.0,1968.0,0.0,98059,47.4715,-122.118,1730.0,11180.0,2.4463443298141856,0.005278579545454545,Medium (2-3)
114,2014-05-07,2.55,84000105,161,5,2,2060.0,8632.0,1,0,0,3,7,1030.0,1030.0,1962.0,0.0,98146,47.4877,-122.335,1010.0,11680.0,2.6126007405782565,0.009019708737864077,Medium (2-3)
115,2015-03-09,4.38,3756500060,162,3,1,1780.0,9660.0,1,0,0,3,7,1780.0,0.0,1962.0,0.0,98034,47.7171,-122.193,1200.0,9660.0,1.8141429861543397,0.005219269662921348,Low (1-2)
116,2015-03-04,9.0,7215720160,163,3,2,3400.0,16603.0,2,0,0,3,10,3400.0,0.0,2000.0,0.0,98075,47.6012,-122.023,3400.0,12601.0,0.9497572103984485,0.005464882352941176,Very Low (0-1)
117,2014-06-20,4.41,3574800520,164,3,2,1910.0,7280.0,1,0,0,3,7,1160.0,750.0,1979.0,0.0,98034,47.7319,-122.224,1710.0,8152.0,1.6906672855260338,0.009728062827225131,Low (1-2)
118,2014-08-12,4.2,2617300160,165,3,2,2020.0,38332.0,1,0,0,4,7,1010.0,1010.0,1975.0,0.0,98027,47.4582,-122.023,2110.0,36590.0,1.5986012452251113,0.009198316831683168,Low (1-2)
119,2014-12-08,3.7,2558660270,166,3,1,1580.0,7000.0,1,0,0,3,7,1180.0,400.0,1976.0,0.0,98034,47.7209,-122.168,1640.0,7500.0,2.043781338832104,0.00587993670886076,Medium (2-3)
120,2015-02-19,2.6995,2009000370,167,2,1,1340.0,7250.0,1,0,0,5,5,700.0,640.0,1949.0,0.0,98198,47.408,-122.327,1830.0,9750.0,1.606554485251107,0.006933059701492537,Low (1-2)
121,2015-03-24,8.071,1836980160,168,4,2,2680.0,4499.0,2,0,0,3,9,2680.0,0.0,1999.0,0.0,98006,47.565,-122.125,2920.0,4500.0,1.606554485251107,0.006933059701492537,Low (1-2)
122,2014-06-05,6.53,3261020370,169,3,2,2680.0,9750.0,1,0,0,4,8,1610.0,1070.0,1979.0,0.0,98034,47.7028,-122.231,2480.0,8750.0,1.2049158639383302,0.006933059701492537,Low (1-2)
